,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
61,2042,Loki Laufeyson (Earth-616),\/Loki_Laufeyson_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532.0,Aug-49,1949.0
62,1643,Franklin Nelson (Earth-616),\/Franklin_Nelson_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,528.0,Apr-64,1964.0
63,1285,Brian Braddock (Earth-616),\/Brian_Braddock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528.0,Oct-76,1976.0
64,1453,Otto Octavius (Earth-616),\/Otto_Octavius_(Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526.0,Jul-63,1963.0
65,6194,James Rhodes (Earth-616),\/James_Rhodes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525.0,Jan-79,1979.0
66,1487,Timothy Dugan (Earth-616),\/Timothy_Dugan_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517.0,May-63,1963.0
67,1380,Crystalia Amaquelin (Earth-616),\/Crystalia_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512.0,Dec-65,1965.0
68,1613,Samuel Wilson (Earth-616),\/Samuel_Wilson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,512.0,Sep-69,1969.0
69,1931,Wilson Fisk (Earth-616),\/Wilson_Fisk_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,503.0,Jul-67,1967.0
70,1596,Odin Borson (Earth-616),\/Odin_Borson_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,502.0,Oct-62,1962.0
71,1409,Deadpool (Wade Wilson),\/Deadpool_(Wade_Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500.0,Feb-91,1991.0
72,1187,Dane Whitman (Earth-616),\/Dane_Whitman_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478.0,Dec-67,1967.0
73,1741,Harold Osborn (Earth-616),\/Harold_Osborn_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,474.0,Dec-65,1965.0
74,68416,Franklin Richards (Earth-616),\/Franklin_Richards_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473.0,Nov-68,1968.0
75,2589,Jessica Drew (Earth-616),\/Jessica_Drew_(Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,471.0,Feb-77,1977.0
76,2626,Roberto da Costa (Earth-616),\/Roberto_da_Costa_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,464.0,Nov-82,1982.0
77,2007,Rahne Sinclair (Earth-616),\/Rahne_Sinclair_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,448.0,Nov-82,1982.0
78,1130,Elizabeth Ross (Earth-616),\/Elizabeth_Ross_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,446.0,May-62,1962.0
79,2278,Lorna Dane (Earth-616),\/Lorna_Dane_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,433.0,Oct-68,1968.0
81,1705,Johnathon Blaze (Earth-616),\/Johnathon_Blaze_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,,Living Characters,426.0,Aug-72,1972.0
82,2550,Sif (Earth-616),\/Sif_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,422.0,Mar-64,1964.0
83,2365,Red Hulk (Thaddeus Ross),\/Red_Hulk_(Thaddeus_Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,415.0,May-62,1962.0
84,1900,Jubilation Lee (Earth-616),\/Jubilation_Lee_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,408.0,May-89,1989.0
85,2420,Volstagg (Earth-616),\/Volstagg_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,406.0,Aug-65,1965.0
86,1127,Balder Odinson (Earth-616),\/Balder_Odinson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,403.0,Oct-62,1962.0
87,1676,Galactus (Earth-616),\/Galactus_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,390.0,Mar-66,1966.0
88,1395,Danielle Moonstar (Earth-616),\/Danielle_Moonstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,388.0,Nov-82,1982.0
89,2183,Marc Spector (Earth-616),\/Marc_Spector_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387.0,Aug-75,1975.0
90,1782,Gwendolyne Stacy (Earth-616),\/Gwendolyne_Stacy_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384.0,Dec-65,1965.0
91,2137,Medusalith Amaquelin (Earth-616),\/Medusalith_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,382.0,Mar-65,1965.0
92,2374,Sabretooth (Victor Creed),\/Sabretooth_(Victor_Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382.0,Aug-77,1977.0
93,2077,Illyana Rasputina (Earth-616),\/Illyana_Rasputina_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380.0,May-75,1975.0
94,2344,Johann Shmidt (Earth-616),\/Johann_Shmidt_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376.0,Aug-41,1941.0
95,1616,Fandral (Earth-616),\/Fandral_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375.0,Aug-65,1965.0
96,1131,Sean Cassidy (Earth-616),\/Sean_Cassidy_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374.0,Jan-67,1967.0
97,2487,Thomas Raymond (Earth-616),\/Thomas_Raymond_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373.0,Sep-40,1940.0
98,1572,Uatu (Earth-616),\/Uatu_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373.0,Apr-63,1963.0
99,2239,Richard Rider (Earth-616),\/Richard_Rider_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373.0,Sep-76,1976.0
100,1827,Hogun (Earth-616),\/Hogun_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,371.0,Aug-65,1965.0
101,55878,Raven Darkholme (Earth-616),\/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,Apr-78,1978.0
102,2173,Barbara Morse (Earth-616),\/Barbara_Morse_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368.0,Jun-71,1971.0
103,1179,Blackagar Boltagon (Earth-616),\/Blackagar_Boltagon_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366.0,Dec-65,1965.0
104,2392,Brunnhilde (Earth-616),\/Brunnhilde_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361.0,Dec-70,1970.0
105,1404,Alison Blaire (Earth-616),\/Alison_Blaire_(Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353.0,Feb-80,1980.0
106,18186,Venom (Symbiote) (Earth-616),\/Venom_(Symbiote)_(Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,,Living Characters,348.0,May-84,1984.0
107,1586,John Walker (Earth-616),\/John_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346.0,Nov-86,1986.0
108,2440,Greer Grant (Earth-616),\/Greer_Grant_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342.0,Nov-72,1972.0
109,2185,Karla Sofen (Earth-616),\/Karla_Sofen_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340.0,Dec-75,1975.0
110,2382,William Baker (Earth-616),\/William_Baker_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338.0,Sep-63,1963.0
111,1300,Sharon Carter (Earth-616),\/Sharon_Carter_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332.0,Mar-66,1966.0
113,1901,Cain Marko (Earth-616),\/Cain_Marko_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,329.0,Jul-65,1965.0
115,20978,Maria Hill (Earth-616),\/Maria_Hill_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,325.0,Apr-05,2005.0
116,1161,Ben Urich (Earth-616),\/Ben_Urich_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324.0,Jul-78,1978.0
117,2182,Heather Douglas (Earth-616),\/Heather_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323.0,Jan-73,1973.0
119,1973,James Proudstar (Earth-616),\/James_Proudstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,320.0,Jun-84,1984.0
120,1633,Angelica Jones (Earth-616),\/Angelica_Jones_(Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319.0,May-85,1985.0
121,11857,Edward Brock (Earth-616),\/Edward_Brock_(Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,318.0,Sep-86,1986.0
122,2513,MacDonald Gargan (Earth-616),\/MacDonald_Gargan_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,317.0,Dec-64,1964.0
123,2146,Mephisto (Earth-616),\/Mephisto_(Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,316.0,Dec-68,1968.0
124,7630,Tabitha Smith (Earth-616),\/Tabitha_Smith_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316.0,Nov-85,1985.0
125,2238,Jean-Paul Beaubier (Earth-616),\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313.0,Apr-79,1979.0
126,1706,Daniel Ketch (Earth-616),\/Daniel_Ketch_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,311.0,May-90,1990.0
127,1460,Neena Thurman (Earth-616),\/Neena_Thurman_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,310.0,Mar-92,1992.0
128,2010,Wong (Earth-616),\/Wong_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306.0,Jul-63,1963.0
129,2456,Thanos (Earth-616),\/Thanos_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,306.0,Feb-73,1973.0
130,15282,Shang-Chi (Earth-616),\/Shang-Chi_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,296.0,Dec-73,1973.0
131,4704,Alicia Masters (Earth-616),\/Alicia_Masters_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293.0,Nov-62,1962.0
132,5708,Robert Baldwin (Earth-616),\/Robert_Baldwin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293.0,Sep-88,1988.0
133,1902,Vance Astrovik (Earth-616),\/Vance_Astrovik_(Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290.0,Jul-75,1975.0
134,6633,Wendell Vaughn (Earth-616),\/Wendell_Vaughn_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290.0,Jan-78,1978.0
136,4565,Abner Jenkins (Earth-616),\/Abner_Jenkins_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284.0,Aug-64,1964.0
137,1505,Elektra Natchios (Earth-616),\/Elektra_Natchios_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,280.0,Jan-81,1981.0
138,1256,Bullseye (Lester) (Earth-616),\/Bullseye_(Lester)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,277.0,Mar-76,1976.0
139,119507,Forge (Earth-616),\/Forge_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,276.0,Aug-84,1984.0
140,9106,Virginia Potts (Earth-616),\/Virginia_Potts_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,274.0,Sep-63,1963.0
141,2383,Walter Langkowski (Earth-616),\/Walter_Langkowski_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,273.0,Apr-79,1979.0
142,1733,Gorgon (Earth-616),\/Gorgon_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272.0,Nov-65,1965.0
143,37689,James Madrox (Earth-616),\/James_Madrox_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,271.0,Feb-75,1975.0
144,1808,Heimdall (Earth-616),\/Heimdall_(Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,270.0,Oct-62,1962.0
145,2558,Theresa Cassidy (Earth-616),\/Theresa_Cassidy_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,267.0,Apr-81,1981.0
146,1565,Laura Kinney (Earth-616),\/Laura_Kinney_(Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,265.0,Feb-04,2004.0
147,33447,Arthur Douglas (Earth-616),\/Arthur_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,264.0,Feb-73,1973.0
148,2511,Peter Parker (Ben Reilly) (Earth-616),\/Peter_Parker_(Ben_Reilly)_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,263.0,Oct-75,1975.0
149,1971,Warlock (Technarch) (Earth-616),\/Warlock_(Technarch)_(Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,261.0,Aug-84,1984.0
150,1903,Kevin Plunder (Earth-616),\/Kevin_Plunder_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,260.0,Mar-65,1965.0
151,1445,Leonard Samson (Earth-616),\/Leonard_Samson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260.0,Jul-71,1971.0
152,2582,Melissa Gold (Earth-616),\/Melissa_Gold_(Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,260.0,Aug-79,1979.0
154,1935,Mercedes Knight (Earth-616),\/Mercedes_Knight_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,259.0,Mar-72,1972.0
